step,true_position,measurement,estimate
1,0.421646,-0.927630,1.492538
2,1.406631,0.941158,2.124945
3,2.483380,-1.182859,1.854655
4,3.662270,4.144107,3.449270
5,4.662874,3.513152,4.020330
6,5.506048,7.342656,5.925437
7,5.703789,4.731101,6.210686
8,6.140257,5.073898,6.458607
9,7.331878,5.101084,6.574699
10,7.880540,5.015251,6.850581
11,8.213080,8.137733,8.014964
12,8.277426,8.818159,8.942245
13,8.419769,7.043265,9.022813
14,9.307571,10.105065,9.997553
15,10.383405,10.483801,10.996284
16,10.706864,11.254851,11.792135
17,12.026408,14.742590,13.456069
18,14.262723,11.392156,13.555829
19,15.242980,14.539012,14.257301
20,16.051011,13.212708,14.497432
21,17.406505,15.503217,15.443779
22,18.528973,14.906852,16.089498
23,19.774659,23.150211,19.086036
24,19.586566,19.291924,19.706582
25,21.077545,23.985515,21.921600
26,21.349530,20.945613,22.244927
27,23.622108,23.554419,23.298259
28,25.000577,25.890346,24.893847
29,26.193652,26.257393,26.124952
30,27.330149,25.508450,26.588022
31,27.544154,23.782738,26.334143
32,28.835973,28.680079,27.700603
33,29.539478,30.357035,29.232615
34,29.948387,27.435584,29.259918
35,29.820244,35.155740,31.786845
36,31.115355,31.200361,32.313059
37,32.679010,28.846264,31.974231
38,34.474241,34.768233,33.440643
39,35.892188,37.838347,35.467472
40,37.588447,37.289565,36.747659
41,37.823241,36.849244,37.384423
42,38.699470,38.504126,38.383416
43,40.022785,42.062148,40.594490
44,40.795891,38.867854,40.675086
45,42.432568,41.660228,41.784939
46,42.854241,45.986455,43.854918
47,44.142747,42.971256,44.310151
48,44.835569,44.845726,45.181853
49,45.784786,48.696907,47.111306
50,46.813291,45.956085,47.348589
